x,y
1,96.7
2,104.3
3,116.7
4,92.8
5,141.7
6,139.2
7,158
8,110.5
9,126.5
10,125.8
11,264.3
12,142
13,122.2
14,126.5
15,148.7
16,147.2
17,150
18,166.7
19,142.3
20,171.7
21,152
22,109.5
23,105.5
24,125.7
25,116.7
26,72.5
27,75.5
28,94
29,101.2
30,84.5
31,110.5
32,99.7
33,39.2
34,38.7
35,47.5
36,73.3
37,58.3
38,83.3
39,118.3
40,98.8
41,99.5
42,66
43,130.7
44,48.8
45,45.2
46,77.7
47,62.7
48,66.7
49,73.3
50,53.3
51,76.2
52,63.3
53,60
54,52.8
55,36.7
56,65
57,46.7
58,41.7
59,33.3
60,11.2
61,0
62,5
63,2.8
64,22.8
65,34.5
66,44.5
67,31.3
68,20.5
69,13.7
70,40.2
71,22
72,7
73,17
74,18.7
75,11.3
76,10.8
77,0
78,0
79,14.3
80,5.3
81,29.7
82,39.5
83,11.3
84,33.3
85,20.8
86,11.8
87,9
88,15.7
89,20.8
90,21.5
91,6
92,10.7
93,19.7
94,23.8
95,28.3
96,15.7
97,23.5
98,35.3
99,43.7
100,50
101,63.5
102,21.3
103,41.7
104,85.5
105,66.2
106,54.2
107,107.8
108,55.8
109,62.7
110,86.7
111,81.7
112,120.5
113,77.3
114,75
115,73.3
116,64.5
117,104.2
118,62.8
119,71.7
120,71.7
121,80.5
122,73.3
123,78
124,78.3
125,81.7
126,83.3
127,85
128,118.8
129,128.7
130,99.5
131,77.2
132,95
133,112.2
134,99.2
135,124.5
136,97.2
137,120
138,80.5
139,110
140,126
141,102.2
142,84.3
143,99.5
144,101.7
145,116.7
146,151.7
147,134.5
148,119.5
149,178.7
150,165.5
151,156.8
152,151.8
153,167.8
154,147.8
155,149.5
156,76.7
157,73
158,121.3
159,76.2
160,100.3
161,66.5
162,128.5
163,56.3
164,112.8
165,114.2
166,115.5
167,129.7
168,128.7
169,94.2
170,53.2
171,57
172,54.8
173,54.5
174,59.7
175,90.3
176,44.2
177,113.5
178,77.2
179,101.5
180,102.3
181,99.5
182,99.5
183,67
184,57.3
185,73.8
186,50
187,50
188,50
189,47
190,46.7
191,43.3
192,42.8
193,40
194,43.3
195,41.7
196,36.7
197,33.7
198,33.3
199,45
200,49.5
201,26.7
202,23.3
203,23.3
204,21.7
205,20
206,18.3
207,61
208,10
209,44.7
210,5
211,5.5
212,6.7
213,7.2
214,8.3
215,9.5
216,32
217,45.7
218,50
219,71.7
220,54.8
221,49.7
222,55.5
223,36.5
224,68
225,71.2
226,73.5
227,91.2
228,88.8
229,89.2
230,110.2
231,77.2
232,71.2
233,129.5
234,129
235,87.7
236,111.3
237,124.7
238,129.7
239,151
240,186.3
241,123.2
242,107
243,107.2
244,161.2
245,122.7
246,157.3
247,197.7
248,200.5
249,248
250,263.7
251,246.8
252,186.7
253,173.3
254,237.5
255,133.5
256,85
257,116.8
258,138.8
259,183
260,210.5
261,174
262,172.7
263,220.3
264,170.5
265,60
266,77
267,77.8
268,108.2
269,254.5
270,199.2
271,112.8
272,97.5
273,169
274,150
275,166.2
276,159.5
277,168.2
278,151.3
279,51.8
280,153.7
281,63.3
282,95
283,128.8
284,93.7
285,84.2
286,131
287,102.2
288,106.7
289,91
290,48.3
291,85.3
292,54.8
293,68.5
294,47.3
295,46.2
296,21.2
297,48.8
298,43.8
299,68.2
300,72
301,78
302,109
303,92.8
304,73
305,85.5
306,47.5
307,29.2
308,11
309,13.2
310,23.3
311,29.5
312,20.3
313,7.3
314,0
315,19.3
316,18.7
317,6.5
318,20.5
319,1.7
320,13.2
321,5.3
322,9.3
323,25.2
324,13.2
325,36.2
326,19.3
327,10.5
328,36.3
329,18.7
330,31.7
331,1.7
332,40.3
333,26.7
334,50
335,58.3
336,66.7
337,75
338,60.8
339,65
340,159.2
341,133.8
342,134.5
343,158.3
344,186.7
345,193.7
346,177.5
347,243.3
348,262.2
349,295.5
350,182.2
351,223.3
352,241.7
353,398.2
354,286
355,255
356,233.3
357,286.2
358,260.5
359,250.5
360,175
361,191.2
362,276.2
363,196.7
364,241.7
365,233.3
366,189.5
367,238.3
368,186.7
369,185
370,206.7
371,190
372,183.3
373,116.7
374,163.3
375,163.3
376,158.3
377,178.7
378,146.7
379,143.3
380,143.3
381,156.2
382,128.3
383,100
384,97.8
385,164.5
386,124.5
387,88.3
388,113.8
389,174.5
390,162.8
391,122.5
392,110
393,85
394,45.5
395,111.7
396,58.7
397,90
398,62.5
399,61.7
400,68.3
401,90.5
402,63.3
403,61.7
404,73.3
405,56.7
406,38.7
407,52.5
408,50
409,46.7
410,64.5
411,44.5
412,47.2
413,38.3
414,42
415,53.7
416,33.3
417,30
418,13.3
419,25
420,17.5
421,21.7
422,13.3
423,18.3
424,16.7
425,10
426,15
427,10
428,16.7
429,16.7
430,13.3
431,28.3
432,23.3
433,10.8
434,13.3
435,15
436,26.2
437,34.5
438,43.8
439,60.5
440,33.3
441,53.3
442,78.7
443,67
444,45.5
445,62
446,79.3
447,79.5
448,142.3
449,153.8
450,98.3
451,138.3
452,149.5
453,185.8
454,187.2
455,193.3
456,187.8
457,224.5
458,176.7
459,145.7
460,212
461,224.7
462,165.3
463,213.3
464,228.7
465,262.2
466,261.7
467,235.8
468,290
469,230
470,215.3
471,238.8
472,180.8
473,188.3
474,257
475,235.8
476,226.7
477,235
478,236.7
479,157.8
480,215.8
481,190
482,208.8
483,200
484,205.5
485,205.8
486,200
487,195
488,171.7
489,186.7
490,149.5
491,223.3
492,225.8
493,171.7
494,212.5
495,160.5
496,156.7
497,155
498,151.7
499,115.5
500,145
501,128.8
502,140.5
503,136.7
504,123.3
505,121.2
506,103.3
507,123.3
508,128.7
509,122.8
510,107
511,118.3
512,71.7
513,110.8
514,102.8
515,111.7
516,110
517,96.7
518,106.7
519,105
520,126.2
521,103.3
522,101.7
523,76.3
524,100
525,98.3
526,98.3
527,95
528,93.3
529,93.3
530,91.7
531,92.5
532,88.3
533,87.2
534,85
535,83.3
536,48.8
537,40
538,78.3
539,73.3
540,76.2
541,75
542,73.3
543,63.3
544,47.3
545,92.8
546,69.2
547,68.3
548,66.7
549,18.5
550,47.5
551,112.3
552,85.7
553,35.7
554,66.5
555,21
556,31
557,51.7
558,28.5
559,21.5
560,42.8
561,22.5
562,32.5
563,41.7
564,30
565,36.7
566,39.7
567,26.2
568,52.8
569,35
570,11.2
571,44.8
572,2.5
573,30.7
574,18.3
575,14
576,8.5
577,24
578,7
579,6.7
580,6.7
581,12.2
582,18.5
583,7.2
584,10
585,9.5
586,11.5
587,9.7
588,5
589,3.3
590,6.7
591,20.7
592,1.8
593,0
594,0
595,0
596,5
597,4
598,2.5
599,20.8
600,16.5
601,2.7
602,21
603,36.2
604,14
605,13.7
606,17.7
607,3.5
608,0
609,0
610,7.7
611,4.5
612,14.3
613,11.5
614,15.5
615,23.2
616,0
617,8.3
618,39.5
619,35
620,32.5
621,19.2
622,20.5
623,17.5
624,66.8
625,45
626,48.3
627,50
628,51.7
629,53.3
630,52
631,58.3
632,64.5
633,55.8
634,54.3
635,66.3
636,80.3
637,79.7
638,78.3
639,68
640,70
641,73.3
642,76.7
643,80
644,83.3
645,86.3
646,64.2
647,57.5
648,83.3
649,83.3
650,84.7
651,49.2
652,41.7
653,73.8
654,60
655,80.5
656,56.8
657,75.5
658,90.5
659,85
660,80
661,75.5
662,80.5
663,80
664,84.3
665,55.7
666,58
667,49.7
668,71.8
669,88.3
670,103.8
671,101.7
672,100
673,101.7
674,73.5
675,85.7
676,62.5
677,65
678,67.5
679,62.7
680,71.2
681,74
682,49
683,68.3
684,63.8
685,65
686,49.3
687,54.5
688,46.2
689,44
690,42.7
691,50
692,43.8
693,40
694,45
695,41.7
696,40
697,20
698,20.3
699,16
700,39.7
701,16.7
702,20
703,21.2
704,20
705,9.5
706,13.3
707,4.3
708,0
709,0
710,7.5
711,0
712,20.5
713,22.5
714,22.5
715,11.2
716,13.3
717,19.5
718,7.8
719,17.5
720,20.5
721,12
722,15.3
723,1.5
724,4.2
725,3.3
726,12.8
727,0.5
728,0.3
729,0.7
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,11
752,0
753,4
754,10.2
755,1.3
756,1.8
757,18.8
758,3.2
759,1.2
760,0
761,1.7
762,2.2
763,0.8
764,26
765,8.7
766,6.5
767,13.2
768,16.8
769,0
770,17.2
771,3.2
772,27.7
773,9.2
774,18.7
775,30.5
776,14
777,25.5
778,46.3
779,27.8
780,23.8
781,37
782,20
783,9.5
784,39.7
785,9.7
786,24.8
787,30.8
788,3.8
789,13.5
790,32.2
791,24.2
792,33.5
793,32
794,53.7
795,43.7
796,52.7
797,16.3
798,93.2
799,59.2
800,78.7
801,52.5
802,55.8
803,62
804,108.3
805,43.8
806,114.7
807,122.8
808,98
809,73.8
810,72.7
811,64.7
812,38.7
813,79.7
814,94
815,63.5
816,49.8
817,60.7
818,96.5
819,160.3
820,44
821,35.3
822,66.7
823,83.3
824,75
825,61.2
826,42.7
827,48.2
828,47.3
829,58.1
830,37.4
831,42.4
832,57.5
833,88.5
834,60.8
835,46.8
836,52.6
837,43.4
838,52.8
839,18.3
840,43
841,54.7
842,34.6
843,6.3
844,33.7
845,32.6
846,58.3
847,52.5
848,43.5
849,24.8
850,45.9
851,41.8
852,50.9
853,32
854,44.4
855,7.5
856,32.3
857,48.9
858,17.9
859,34.1
860,43.1
861,8.6
862,14.9
863,13.2
864,15.1
865,36
866,7
867,9.5
868,15.2
869,2.8
870,3
871,4.3
872,8
873,7.3
874,31.4
875,7.3
876,0.4
877,0
878,1.5
879,26.9
880,21.7
881,2.4
882,9.3
883,13.2
884,3.4
885,0
886,0.6
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,0
895,0.8
896,0
897,0
898,0
899,0
900,34
901,36
902,18
903,0
904,32.3
905,4.6
906,0
907,0
908,2.3
909,34.3
910,42
911,0
912,1.4
913,8.4
914,25.9
915,37.4
916,6.2
917,25.8
918,25.6
919,51.5
920,42.8
921,26.2
922,26
923,19.6
924,36.7
925,29.4
926,30.2
927,61.3
928,40
929,53.9
930,61.7
931,87.5
932,66
933,31.6
934,84.4
935,65.8
936,113.6
937,57.7
938,79
939,96.3
940,76.7
941,93.8
942,94.4
943,70.4
944,89.4
945,82.6
946,93.5
947,80.4
948,76.8
949,88
950,107.3
951,108.5
952,101.9
953,148.6
954,163.4
955,90.4
956,127.3
957,83.9
958,91.1
959,95
960,78.1
961,71.6
962,82.3
963,120.6
964,158.4
965,112.3
966,123.2
967,151.5
968,129.3
969,88
970,95.3
971,112.7
972,94.1
973,87
974,120.1
975,141
976,177.3
977,110.5
978,108.4
979,73.2
980,84.6
981,103.4
982,140.6
983,135.4
984,136.8
985,79
986,83.6
987,155.8
988,90.9
989,63.4
990,55.6
991,75.4
992,91.6
993,63.2
994,77.1
995,72.5
996,48.3
997,51.5
998,92.6
999,91.9
1000,44.8
1001,68.9
1002,44.5
1003,23.3
1004,14.8
1005,13.7
1006,35.2
1007,23.8
1008,45.8
1009,18.7
1010,24.9
1011,19.6
1012,4.6
1013,21.5
1014,1.7
1015,11.6
1016,9.5
1017,19.3
1018,12.5
1019,9.8
1020,16.6
1021,8.2
1022,30.1
1023,6.5
1024,2.4
1025,14.8
1026,13.1
1027,14.4
1028,6.6
1029,19.2
1030,41.3
1031,50.9
1032,57.5
1033,12.4
1034,40.7
1035,32.7
1036,102.4
1037,72.6
1038,55.2
1039,99.6
1040,98.5
1041,168
1042,158.6
1043,166.7
1044,129.3
1045,147.6
1046,179.4
1047,163.7
1048,238
1049,185.7
1050,207.9
1051,194.6
1052,179.6
1053,158.5
1054,228.9
1055,201.5
1056,343.8
1057,313.4
1058,292.6
1059,224.3
1060,230.3
1061,186.1
1062,263.4
1063,271.2
1064,223.5
1065,160.4
1066,206.2
1067,178.4
1068,216.1
1069,241.5
1070,141.3
1071,234.5
1072,211.1
1073,229.4
1074,157.6
1075,180.4
1076,131.3
1077,122.7
1078,151.5
1079,129.2
1080,132.9
1081,175.9
1082,170.8
1083,129.5
1084,102.9
1085,89.6
1086,91.2
1087,141.3
1088,218.8
1089,221.1
1090,151.5
1091,114.7
1092,106.2
1093,135.4
1094,146.1
1095,112.9
1096,109.8
1097,115.4
1098,80.9
1099,101
1100,96.4
1101,123.3
1102,91.7
1103,90.4
1104,89.5
1105,40.1
1106,49.9
1107,49.6
1108,66.9
1109,112.4
1110,92.8
1111,51.4
1112,65.4
1113,60.9
1114,47.4
1115,32.9
1116,64.8
1117,34
1118,36.8
1119,36.2
1120,44.9
1121,41.4
1122,34.2
1123,21
1124,44.4
1125,30.6
1126,63.5
1127,67.5
1128,29.3
1129,22.2
1130,5.9
1131,13.9
1132,15.8
1133,35.1
1134,17.6
1135,15.9
1136,19.6
1137,6.9
1138,8.9
1139,31.7
1140,21.2
1141,15.7
1142,24.5
1143,22.5
1144,34.6
1145,19.2
1146,6.2
1147,35.2
1148,39.7
1149,11.6
1150,35.9
1151,17.9
1152,36
1153,42.8
1154,72.8
1155,72.1
1156,95
1157,79.7
1158,51.8
1159,51
1160,53.9
1161,49.3
1162,67.8
1163,65.7
1164,99.5
1165,64.6
1166,84.9
1167,106.5
1168,115.5
1169,99.9
1170,108.4
1171,77.5
1172,91.3
1173,178.6
1174,93.4
1175,100.6
1176,109.1
1177,104.4
1178,74.9
1179,143
1180,74.6
1181,125.7
1182,142.2
1183,87.1
1184,234.3
1185,268.2
1186,300.6
1187,231.5
1188,182.6
1189,265.2
1190,186.4
1191,181.2
1192,178.6
1193,170.5
1194,214.9
1195,232
1196,220.9
1197,167.3
1198,220.6
1199,191
1200,265.8
1201,298.3
1202,250.3
1203,182.7
1204,194.7
1205,153.2
1206,154.2
1207,148.2
1208,128.6
1209,178
1210,135.7
1211,188.2
1212,184.3
1213,148.2
1214,169.8
1215,156.8
1216,83.8
1217,117
1218,133
1219,74.3
1220,117
1221,163.7
1222,134.9
1223,104.1
1224,115.9
1225,143.5
1226,200.1
1227,122.8
1228,107.3
1229,118.9
1230,120
1231,68.6
1232,109
1233,128.9
1234,118.7
1235,96.8
1236,135.5
1237,129.9
1238,126.2
1239,116.2
1240,124.3
1241,104.3
1242,89
1243,80
1244,75.3
1245,71.2
1246,127.9
1247,103.1
1248,86.1
1249,77.9
1250,81.5
1251,71.6
1252,90.4
1253,65.9
1254,76
1255,87.2
1256,95.8
1257,63.7
1258,80.5
1259,54.7
1260,44.5
1261,29.3
1262,38
1263,39.4
1264,50.3
1265,45.6
1266,40.1
1267,35.5
1268,30.1
1269,42.6
1270,24.1
1271,53.5
1272,41.1
1273,23.4
1274,21.6
1275,33
1276,8.4
1277,17.3
1278,10
1279,0.7
1280,5.9
1281,0
1282,18.3
1283,7.9
1284,5.8
1285,1
1286,9.3
1287,0.7
1288,12.4
1289,0
1290,9.8
1291,8.8
1292,11.3
1293,8.4
1294,8.5
1295,14.7
1296,13.7
1297,26
1298,14.2
1299,10
1300,21.1
1301,54.2
1302,30.5
1303,42.2
1304,32
1305,80.6
1306,77.1
1307,59.6
1308,70.7
1309,74.2
1310,66.3
1311,109.2
1312,72.8
1313,78.6
1314,84.5
1315,107.7
1316,104.9
1317,152.2
1318,173.2
1319,98.6
1320,127
1321,159
1322,166.4
1323,171.5
1324,162.9
1325,172.8
1326,165.2
1327,180.7
1328,203
1329,200.9
1330,217.8
1331,184.6
1332,153.9
1333,156.6
1334,167.9
1335,188
1336,135.7
1337,203.5
1338,206.3
1339,221.9
1340,190.5
1341,175.2
1342,171.1
1343,186
1344,181.7
1345,118.5
1346,147.5
1347,192
1348,187.1
1349,107.8
1350,167.5
1351,148.2
1352,156.7
1353,151.9
1354,127.7
1355,102
1356,152.8
1357,119.9
1358,122.4
1359,82.7
1360,102.1
1361,122.4
1362,159.7
1363,139.5
1364,118.7
1365,126.4
1366,79.8
1367,96
1368,77.6
1369,91.8
1370,107.7
1371,126
1372,77.1
1373,102.1
1374,77.6
1375,62
1376,91.3
1377,41.7
1378,75.7
1379,71.6
1380,78.1
1381,109.7
1382,89.5
1383,125.9
1384,68.1
1385,77.1
1386,109.9
1387,103.8
1388,104.1
1389,54.2
1390,64.4
1391,109.3
1392,54.3
1393,92.5
1394,74.6
1395,75
1396,55.9
1397,65.6
1398,63.8
1399,50.8
1400,71.8
1401,41
1402,32.5
1403,46.7
1404,24.3
1405,60
1406,72.9
1407,46.6
1408,33.5
1409,24.6
1410,31.4
1411,17.6
1412,24.2
1413,13.9
1414,26.8
1415,17.2
1416,2.9
1417,0
1418,1.4
1419,17.4
1420,9.7
1421,5.5
1422,2.8
1423,9.5
1424,9.1
1425,18.7
1426,25.5
1427,18.1
1428,47.9
1429,25.9
1430,26.3
1431,44
1432,61.1
1433,44.5
1434,51.8
1435,48.3
1436,57.3
1437,78.7
1438,102.8
1439,98.7
1440,112.8
1441,101.6
1442,99.9
1443,88
1444,68.4
1445,173.4
1446,180.7
1447,98.8
1448,132.7
1449,134.5
1450,99
1451,130.2
1452,174.1
1453,129
1454,191.7
1455,262.7
1456,266.9
1457,293.6
1458,226.3
1459,220.9
1460,256.5
1461,226.8
1462,244.3
1463,246
1464,216.7
1465,147.2
1466,209
1467,238.7
1468,270.9
1469,242.6
1470,152.9
1471,171.8
1472,183.7
1473,133.9
1474,148.5
1475,175.7
1476,150.8
1477,132.7
1478,200.3
1479,147.5
1480,170.4
1481,179.5
1482,183.3
1483,176
1484,155
1485,191.1
1486,171.2
1487,186.8
1488,139.9
1489,144.6
1490,178.4
1491,164
1492,127.1
1493,80
1494,74.8
1495,111.7
1496,113.8
1497,78.7
1498,78.6
1499,92.5
1500,82
1501,101.4
1502,107.1
1503,77.5
1504,53.5
1505,74.6
1506,63.8
1507,113.2
1508,102.3
1509,46.8
1510,57.4
1511,48.2
1512,48.8
1513,24.4
1514,35.9
1515,56.4
1516,48.6
1517,19.2
1518,39.9
1519,20.9
1520,24.4
1521,4
1522,21.3
1523,29.6
1524,16.5
1525,23.9
1526,25.1
1527,51.1
1528,3.9
1529,8.5
1530,2.7
1531,25.5
1532,14.8
1533,16.6
1534,23.9
1535,16.6
1536,13.6
1537,40.6
1538,14.5
1539,19.9
1540,26.3
1541,36.1
1542,23.6
1543,10
1544,10.5
1545,28.1
1546,11.2
1547,23.6
1548,3.5
1549,5.5
1550,11
1551,13.1
1552,0.2
1553,9.9
1554,10.7
1555,0.2
1556,0
1557,8.8
1558,1.9
1559,6.8
1560,0.9
1561,1.6
1562,0.9
1563,0
1564,10.4
1565,4
1566,8
1567,12.6
1568,17.9
1569,10.1
1570,20.4
1571,21.9
1572,12.2
1573,40.1
1574,45.4
1575,32.1
1576,32.4
1577,39.1
1578,56.9
1579,36.5
1580,80.3
1581,110.1
1582,71.7
1583,51.1
1584,49.4
1585,60.6
1586,88.6
1587,85.8
1588,86.1
1589,72.5
1590,100.8
1591,128.2
1592,97.3
1593,88.6
1594,107.3
1595,91.5
1596,78.8
1597,75
1598,115.9
1599,111.5
1600,159.6
1601,106.9
1602,75.4
1603,75.7
1604,67.5
1605,96.1
1606,98.6
1607,140.6
1608,69.7
1609,101
1610,78.2
1611,71.3
1612,136.8
1613,52.5
1614,127.2
1615,134.4
1616,76.6
1617,87.8
1618,139.6
1619,140.8
1620,126.5
1621,152.6
1622,144.8
1623,145.8
1624,126.9
1625,110.9
1626,85.3
1627,88.5
1628,93.1
1629,103.1
1630,79.6
1631,60.9
1632,78.6
1633,71.4
1634,119.7
1635,82.9
1636,91.7
1637,121.6
1638,139.5
1639,110.9
1640,83.5
1641,66
1642,64.5
1643,51.6
1644,36.3
1645,49.8
1646,43.2
1647,95.5
1648,72.9
1649,51.2
1650,45.3
1651,50.4
1652,28.1
1653,35.7
1654,14.4
1655,0.6
1656,21.7
1657,17
1658,22
1659,7.1
1660,11.6
1661,33.4
1662,26.1
1663,38.9
1664,35.7
1665,12.4
1666,11
1667,11.5
1668,34.5
1669,21.2
1670,11.8
1671,13.1
1672,8.5
1673,11.7
1674,11.8
1675,5
1676,4.6
1677,14.6
1678,3.4
1679,17.9
1680,11.1
1681,1.3
1682,14.2
1683,11.1
1684,7.3
1685,4
1686,10.8
1687,15.8
1688,34.3
1689,10.9
1690,3.4
1691,0.3
1692,11.2
1693,8.8
1694,1.1
1695,8.5
1696,2.7
1697,7.9
1698,2.2
1699,19.3
1700,14.2
1701,28.6
1702,18.6
1703,15.9
1704,13.1
1705,22.5
1706,36.9
1707,17.2
1708,34.2
1709,68.5
1710,80.4
1711,98
1712,55.1
1713,89.7
1714,86
1715,69.8
1716,54.3
1717,115.2
1718,126.1
1719,83.3
1720,116
1721,132.7
1722,127.3
1723,127.6
1724,169
1725,104.7
1726,117.5
1727,108.9
1728,131
1729,125
1730,121.6
1731,109.5
1732,146.8
1733,141.3
1734,149.8
1735,147.6
1736,215.4
1737,129.9
1738,133.3
1739,125.2
1740,156.4
1741,138.6
1742,141
1743,87.1
1744,136
1745,168.7
1746,164.8
1747,176.7
1748,117.1
1749,110
1750,125.7
1751,94.3
1752,100.1
1753,105.4
1754,112
1755,101.6
1756,128.2
1757,112.5
1758,119.1
1759,79.7
1760,114.9
1761,96.1
1762,113.2
1763,78.6
1764,117.9
1765,48.4
1766,95.7
1767,86.5
1768,73
1769,46.1
1770,81.7
1771,75.2
1772,45.4
1773,102.2
1774,47.9
1775,63.3
1776,71
1777,67.6
1778,49
1779,48.7
1780,51.7
1781,33.3
1782,18.9
1783,46.1
1784,36.4
1785,80.4
1786,23.9
1787,14
1788,55.5
1789,50.4
1790,60.7
1791,63.9
1792,24.2
1793,43
1794,37.1
1795,15
1796,52.3
1797,58.1
1798,57.1
1799,51.6
1800,21.1
1801,32.4
1802,15.3
1803,30.3
1804,23.6
1805,12.9
1806,34.1
1807,22.5
1808,4.9
1809,14
1810,21.7
1811,13
1812,17.6
1813,15.7
1814,22.8
1815,14.4
1816,26.8
1817,25.3
1818,20.1
1819,13.9
1820,7.1
1821,13.9
1822,21.6
1823,7.5
1824,0.5
1825,0.4
1826,4
1827,7.4
1828,0
1829,17
1830,9.7
1831,1.2
1832,1.7
1833,0.9
1834,6.3
1835,6.4
1836,0
1837,9.3
1838,0
1839,20.7
1840,0
1841,4.7
1842,2.4
1843,1.5
1844,3.8
1845,12.6
1846,27.2
1847,17.2
1848,1.8
1849,13.9
1850,28.4
1851,22.5
1852,43.5
1853,24.3
1854,27.2
1855,46.4
1856,48
1857,18.5
1858,64.8
1859,74.2
1860,76.2
1861,52.6
1862,40.8
1863,61.9
1864,71.6
1865,65.7
1866,69.8
1867,84.3
1868,97.1
1869,50.2
1870,90.4
1871,63.4
1872,91.1
1873,91.2
1874,143
1875,94.3
1876,65.5
1877,79.9
1878,81.6
1879,121.6
1880,98.1
1881,91.8
1882,131.2
1883,178.7
1884,92.5
1885,75.8
1886,52.3
1887,107.4
1888,92.2
1889,96.2
1890,105.3
1891,172.7
1892,79.6
1893,93.5
1894,29.7
1895,64.8
1896,108
1897,127.4
1898,180.3
1899,101.1
1900,87.6
1901,71.4
1902,67.2
1903,82.9
1904,90.5
1905,141.7
1906,109.1
1907,102.5
1908,78.9
1909,65.4
1910,56.6
1911,47.9
1912,96.1
1913,68
1914,80.2
1915,65.8
1916,150.9
1917,144.9
1918,53.9
1919,75.9
1920,65.9
1921,94.6
1922,77.6
1923,110.5
1924,53.7
1925,60
1926,37.8
1927,59.6
1928,38.5
1929,64.7
1930,97.4
1931,93
1932,90.2
1933,44
1934,52.5
1935,35.7
1936,14.1
1937,36.9
1938,20.5
1939,23.5
1940,19.3
1941,43.7
1942,63.9
1943,8.3
1944,9.6
1945,5.6
1946,15
1947,13
1948,27.6
1949,15.1
1950,3.7
1951,5.9
1952,6.7
1953,6.7
1954,4.5
1955,7
1956,3.7
1957,0.4
